StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,CouldLearn_1,CouldLearn_2,CouldLearn_3,Confidence_NC,Confidence_MS,Confidence_CV,Slope,turkid,condid,Q_DataPolicyViolations
9/12/2025 21:14,9/12/2025 21:15,0,100,30,1,9/12/2025 21:15,R_3ts4GRgAibXDfXq,anonymous,EN,2,1,2,5,4,4,1,7DD0416DB65047FDAA5BCCEDBDF9B817,1,NA
9/12/2025 21:14,9/12/2025 21:15,0,100,97,1,9/12/2025 21:15,R_650Fgzds6fUO0kF,anonymous,EN,2,2,2,5,5,5,1,DD44CA1228D0434495F8E152F1F7793D,0,NA
9/12/2025 21:15,9/12/2025 21:15,0,100,26,1,9/12/2025 21:15,R_6eJucIi9UtAdUgp,anonymous,EN,2,1,1,3,4,3,1,DFD518B462664AA68B4B857D6325C5B9,0,NA
9/12/2025 21:15,9/12/2025 21:15,0,100,38,1,9/12/2025 21:15,R_6s0okHcOQh1XLNX,anonymous,EN,1,2,1,5,4,3,2,57554753932C4E16BE0B5B0524BA32A6,0,NA
9/12/2025 21:14,9/12/2025 21:15,0,100,72,1,9/12/2025 21:15,R_1p9VZ8xDu9qjMLK,anonymous,EN,2,2,2,5,5,3,1,C14467CA957B493A9CCB64B988EC22BC,1,NA
9/12/2025 21:12,9/12/2025 21:15,0,100,178,1,9/12/2025 21:15,R_63qYYBnnOAZ6Uvx,anonymous,EN,2,1,1,4,5,4,1,B93FFCDEE7D3435BBEA10DD633EB8721,1,NA
9/12/2025 21:15,9/12/2025 21:16,0,100,47,1,9/12/2025 21:16,R_1xLEmB8HeA8w2id,anonymous,EN,1,1,1,4,4,4,1,FFD019C05DA64CCFB5A9A5877A1BC094,1,NA
9/12/2025 21:16,9/12/2025 21:16,0,100,38,1,9/12/2025 21:16,R_6XoZLxZ9VSQejn5,anonymous,EN,1,1,0,5,4,3,2,45964B254A1D4BB3BE11F4E4DAA9B6B5,0,NA
9/12/2025 21:16,9/12/2025 21:16,0,100,43,1,9/12/2025 21:16,R_7bXFjkhjBqWgSFH,anonymous,EN,1,1,1,3,5,5,1,480624F7D2124687AD60694DFA6D7702,1,NA
9/12/2025 21:16,9/12/2025 21:17,0,100,54,1,9/12/2025 21:17,R_7qNIi3nDJgMkseq,anonymous,EN,-2,-1,-1,3,4,1,1,CF9852F374E140F0A1608EED8A1F3A23,1,NA
9/12/2025 21:17,9/12/2025 21:17,0,100,45,1,9/12/2025 21:17,R_6dXhumChmUlh0MX,anonymous,EN,2,2,2,1,5,5,1,32AF061A389746EEA3E64F5421D6B093,0,NA
9/12/2025 21:16,9/12/2025 21:18,0,100,103,1,9/12/2025 21:18,R_1Vi1mvoS4qx3RoR,anonymous,EN,1,1,1,3,4,4,2,319343789BBB48CF93CB2E2F28722C7B,0,NA
9/12/2025 21:17,9/12/2025 21:18,0,100,34,1,9/12/2025 21:18,R_6gRudVOGq5UwKbH,anonymous,EN,1,1,0,4,2,4,1,0D8867A326B34E99B195FF3CF4FC3DED,1,NA
9/12/2025 21:12,9/12/2025 21:19,0,100,427,1,9/12/2025 21:19,R_1nCufY1jKn6MOpM,anonymous,EN,1,1,1,4,4,1,2,D3B2FD66AF6D40D5A3887A9613DF114B,0,NA
9/12/2025 21:20,9/12/2025 21:20,0,100,52,1,9/12/2025 21:20,R_1GUOL3KQHw2GlBr,anonymous,EN,-1,-1,-1,4,4,3,2,E550F88BE6CE4D0894E8A7A0F2817EAD,0,NA
9/12/2025 21:18,9/12/2025 21:20,0,100,142,1,9/12/2025 21:20,R_7UZOVJCeJ8VXNMR,anonymous,EN,1,1,1,3,4,2,1,361E2725C24249A7AE18EA1937A16F6F,0,NA
9/12/2025 21:18,9/12/2025 21:21,0,100,184,1,9/12/2025 21:21,R_5xKPk2IJxywpQOo,anonymous,EN,2,2,2,5,3,2,1,7A2FD3C07D83434E8933F2F44369452E,1,NA
9/12/2025 21:20,9/12/2025 21:21,0,100,63,1,9/12/2025 21:21,R_3alganXbX9G3zh7,anonymous,EN,1,1,1,4,4,2,1,F7D40967AFF441E08EE288EBFBFBB8E6,0,NA
