StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,EasierOrHarder,ProjectChoice,Wager_1,AttImport_MV,AttImport_SA,AttImport_MS,AttImport_NC,BecameConfident,NotEnoughRound,CouldPredict,AttribUseful,AttribDiff,SubjSlope,turkid,condid,bonusearned
24/9/2019 21:51,24/9/2019 21:51,0,100,23,1,24/9/2019 21:51,R_3qiEfmt5f5Dh8rL,5,0,1,4,3,3,4,5,3,5,5,3,5,AOQZ2B7YSZVQ3,2,12
24/9/2019 21:51,24/9/2019 21:51,0,100,31,1,24/9/2019 21:51,R_1ikVtvbH71wWEg4,6,0,7,4,3,4,5,6,4,6,6,5,6,A3JW215NW77ZTU,2,24
24/9/2019 21:49,24/9/2019 21:51,0,100,119,1,24/9/2019 21:51,R_3fjZDAZyY2XIlRC,4,1,5,1,2,4,4,4,5,5,4,5,5,A1G6F1HWIS2K2K,0,20
24/9/2019 21:51,24/9/2019 21:51,0,100,28,1,24/9/2019 21:51,R_1LLp3TNiHa2HDLi,4,1,10,3,3,3,3,3,4,4,4,5,5,A1VR49TB3Q4BV8,2,30
24/9/2019 21:51,24/9/2019 21:52,0,100,23,1,24/9/2019 21:52,R_71iWnscOLHxPhdv,5,0,3,3,3,3,3,6,5,5,5,5,4,A2MN4SACCVT29O,0,16
24/9/2019 21:50,24/9/2019 21:52,0,100,84,1,24/9/2019 21:52,R_3WWDhbuRkj5WVAB,1,2,10,4,2,2,4,2,5,2,3,5,5,A1D9ZWU1M46SAF,2,30
24/9/2019 21:50,24/9/2019 21:52,0,100,85,1,24/9/2019 21:52,R_1lrAYNLZz900vOZ,4,1,10,2,2,4,4,5,3,6,5,6,7,A270HX8LH9LJ8W,2,30
24/9/2019 21:50,24/9/2019 21:52,0,100,78,1,24/9/2019 21:52,R_2trEg301C9Wi3ug,6,1,10,1,1,5,5,6,2,6,6,5,6,ADD4FGB00XQ5H,2,30
24/9/2019 21:51,24/9/2019 21:52,0,100,73,1,24/9/2019 21:52,R_1dN3TXywlgI8zWF,4,2,10,3,2,4,4,6,2,5,5,5,6,A3S5M6R3ZR6ECN,2,30
24/9/2019 21:51,24/9/2019 21:52,0,100,40,1,24/9/2019 21:52,R_3gZ3HULMZuOiP8w,5,1,0,5,3,5,5,4,5,5,4,4,4,A16GOBHWJDPD9T,2,10
24/9/2019 21:50,24/9/2019 21:52,0,100,131,1,24/9/2019 21:52,R_2DS4BgXkfqIOMIv,3,2,10,2,4,4,5,6,1,6,6,6,7,A1GTYHV8OYQQLV,2,30
24/9/2019 21:51,24/9/2019 21:52,0,100,60,1,24/9/2019 21:52,R_2fuNwX3l8i71Phx,5,2,10,3,3,3,5,5,6,6,5,5,5,A31681CCEVDIH3,0,30
24/9/2019 21:50,24/9/2019 21:52,0,100,132,1,24/9/2019 21:52,R_DrebYkWfTem60ff,4,2,0,3,2,5,4,5,3,6,5,6,7,AN3F3H70WHNAM,2,10
24/9/2019 21:51,24/9/2019 21:52,0,100,72,1,24/9/2019 21:52,R_UnJn3uh32wxZiNj,6,1,10,3,1,5,3,6,2,6,7,6,7,A17OINLIDZ0C14,2,30
24/9/2019 21:50,24/9/2019 21:52,0,100,127,1,24/9/2019 21:53,R_2rNt4RWy3GpMO5Z,1,2,0,2,2,2,3,3,5,3,4,5,4,A1KWIJXTC47YWE,0,10
24/9/2019 21:52,24/9/2019 21:53,0,100,58,1,24/9/2019 21:53,R_XHgyWKqlbhmFjk5,2,1,2,4,3,4,3,4,6,4,3,5,5,A3D3NEQ158WUB0,2,14
24/9/2019 21:51,24/9/2019 21:53,0,100,108,1,24/9/2019 21:53,R_7WjOaVFHHIfVcyd,3,1,2,3,2,3,3,3,6,5,5,5,4,A3M88KA3AW07B3,0,14
24/9/2019 21:51,24/9/2019 21:53,0,100,130,1,24/9/2019 21:53,R_2YzVckGl0HBIIHt,4,2,10,1,3,5,5,5,3,5,4,5,4,AOTIV8H84F69E,2,30
24/9/2019 21:52,24/9/2019 21:53,0,100,70,1,24/9/2019 21:53,R_3KWbfKBZiuTmP47,6,2,10,2,2,2,5,6,3,6,6,6,6,A2SO6K35NMGBB7,0,30
24/9/2019 21:52,24/9/2019 21:53,0,100,64,1,24/9/2019 21:53,R_3COzfkxVxf4pTLR,4,2,10,2,2,3,4,5,6,4,5,6,7,A1YX4D517MM5M3,2,30
24/9/2019 21:51,24/9/2019 21:54,0,100,136,1,24/9/2019 21:54,R_2AT4rJaI6kxjpmE,4,2,10,3,3,3,5,4,4,5,5,5,5,ANJJQV9EY4QQ4,2,30
24/9/2019 21:51,24/9/2019 21:54,0,100,154,1,24/9/2019 21:54,R_poPsuP4YXVUWlYR,6,0,6,4,5,3,4,4,6,4,6,5,6,A2G97RZRNF3LU6,2,22
