StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DV_1,DV_2,DV_3,DV_4_R,CouldLearn_1,CouldLearn_2,CouldLearn_3,1_Hook,1_Length,1_Tone,1_Content,1_CTA,2_Hook,2_Length,2_Tone,2_Content,2_CTA,EdgeProbability,turkid,condid,replicate
4/24/2024 23:55,4/24/2024 23:56,0,100,75,1,4/24/2024 23:56,R_3rqxJqwfujtVk0e,2,2,2,-2,2,2,2,2,0,1,2,1,0,2,0,0,0,95,6010e0dab98c814912076b27,1,3
4/24/2024 23:54,4/24/2024 23:56,0,100,121,1,4/24/2024 23:56,R_2Hcr3jrQBsYexIB,2,2,2,-2,1,1,1,0,0,1,2,0,1,2,0,0,1,100,64401b8dc61551f15637634b,0,0
4/24/2024 23:53,4/24/2024 23:56,0,100,167,1,4/24/2024 23:56,R_216AyKcVoDMbFwM,1,1,0,0,-2,0,1,0,2,0,0,0,1,0,1,1,1,95,61113ad836a1f1b60f4c9389,0,1
4/24/2024 23:54,4/24/2024 23:56,0,100,132,1,4/24/2024 23:56,R_2c0j3IJzhYjjKWn,1,1,1,-1,1,0,1,0,0,0,0,1,1,1,1,1,0,90,65f0291c3911fa46e3bddb55,0,0
4/24/2024 23:53,4/24/2024 23:57,0,100,195,1,4/24/2024 23:57,R_1lF71xlTrPLumDh,2,2,1,-1,1,0,1,0,2,1,1,0,2,0,0,0,0,90,5d546368d39e340001e155c1,1,4
4/24/2024 23:55,4/24/2024 23:57,0,100,105,1,4/24/2024 23:57,R_3sHAFos18EizpaF,1,1,1,-1,0,1,0,0,0,0,1,0,2,2,1,0,1,100,5c609e77044f100001a4bcc7,0,2
4/24/2024 23:54,4/24/2024 23:57,0,100,196,1,4/24/2024 23:57,R_1nW0Z55Z3a4K4ZS,2,2,2,-2,2,1,1,1,2,0,2,1,2,1,1,0,0,100,65a7e34961fd2e2798ac3d26,1,3
4/24/2024 23:54,4/24/2024 23:57,0,100,197,1,4/24/2024 23:57,R_3xXAMZleJxdatuG,1,0,-1,0,-1,-1,-1,2,0,0,1,1,0,2,1,2,0,90,63d8966cb1c8fda2f6006864,0,0
4/24/2024 23:56,4/24/2024 23:57,0,100,91,1,4/24/2024 23:57,R_55ni7YsDcvbDKzT,1,1,1,-1,1,0,1,0,0,0,0,0,2,2,1,1,1,75,65a68e46526514b6a3da0a10,0,4
4/24/2024 23:54,4/24/2024 23:57,0,100,174,1,4/24/2024 23:57,R_1I04fGcyqhGhyR6,2,2,2,-2,1,-1,2,0,0,0,0,0,2,2,1,0,1,100,5da6b2aca2860400146b8ace,1,0
